matthews_corrcoef	roc_auc_score	precision[0]	precision[1]	recall[0]	recall[1]	fscore[0]	fscore[1]	support_0	support_1
-0.0379276147	0.4941860465	0.8762886598	0	0.988372093	0	0.9289617486	0	86	12
-0.0235427755	0.4946236559	0.9484536082	0	0.9892473118	0	0.9684210526	0	93	5
0	0.5	0.9387755102	0	1	0	0.9684210526	0	92	6
0.2855468783	0.5454545455	0.8969072165	1	1	0.0909090909	0.9456521739	0.1666666667	87	11
0.3012003478	0.55	0.9072164948	1	1	0.1	0.9513513514	0.1818181818	88	10
0.3192918855	0.5555555556	0.9175257732	1	1	0.1111111111	0.9569892473	0.2	89	9
0.3314700715	0.5943181818	0.9157894737	0.6666666667	0.9886363636	0.2	0.9508196721	0.3076923077	88	10
0.3537105525	0.6054931336	0.9263157895	0.6666666667	0.9887640449	0.2222222222	0.9565217391	0.3333333333	89	9
0.4281744193	0.6	0.9166666667	1	1	0.2	0.9565217391	0.3333333333	88	10
0.4997607083	0.6363636364	0.9157894737	1	1	0.2727272727	0.956043956	0.4285714286	87	11
									
with new word2vec model									
									
-0.0631881355	0.4827586207	0.8842105263	0	0.9655172414	0	0.9230769231	0	87	11
0.2039966871	0.549937578	0.9166666667	0.5	0.9887640449	0.1111111111	0.9513513514	0.1818181818	89	9
0.2375898833	0.5717054264	0.8936170213	0.5	0.976744186	0.1666666667	0.9333333333	0.25	86	12
0.2898550725	0.6449275362	0.9565217391	0.3333333333	0.9565217391	0.3333333333	0.9565217391	0.3333333333	92	6
0.2945137539	0.5946236559	0.9583333333	0.5	0.9892473118	0.2	0.9735449735	0.2857142857	93	5
0.3012003478	0.55	0.9072164948	1	1	0.1	0.9513513514	0.1818181818	88	10
0.3121110937	0.5851619645	0.9052631579	0.6666666667	0.9885057471	0.1818181818	0.9450549451	0.2857142857	87	11
0.3814362937	0.6386363636	0.9247311828	0.6	0.9772727273	0.3	0.9502762431	0.4	88	10
0.4300756154	0.6829545455	0.9340659341	0.5714285714	0.9659090909	0.4	0.9497206704	0.4705882353	88	10
0.4538926288	0.6111111111	0.9270833333	1	1	0.2222222222	0.9621621622	0.3636363636	89	9
